id;name;x;y;province
230;Piercebridge;-954394.002617141231894;6282581.96852008253336;Britannia
231;Malton;-912895.472295586019754;6220706.603925614617765;Britannia
232;Ospringe;-896771.17291193222627;5878295.871366702020168;Britannia
233;Broughton;-1089984.839435125701129;6164217.418531576171517;Britannia
234;Salisbury;-1086527.085787781514227;5908547.224836548790336;Britannia
235;Caerphilly;-1165104.630444955080748;5997885.224375990219414;Britannia
236;Kelvedon;-890171.358105538180098;5939601.657195613719523;Britannia
237;East Ayrshire;-1075089.553528345888481;6444260.331852061673999;Caledonia
238;Brampton;-1004176.78850363753736;6350462.725065716542304;Britannia
239;Shropshire, County of;-1092739.56496846373193;6104360.904916814528406;Britannia
240;Ambleside;-1039446.178545074304566;6298296.570885705761611;Britannia
241;Ravenglass;-1069289.473540629260242;6301060.811522403731942;Britannia
242;Cockermouth;-1053597.50330609944649;6333957.379331634379923;Britannia
243;Mendip Hills;-1138702.327018114272505;5950424.385423705913126;Britannia
244;Crail;-946881.722884139744565;6489740.211769578047097;Caledonia
245;Doncaster;-954400.225948414998129;6162237.294380185194314;Britannia
246;Dorchester;-1143952.616337071871385;5885245.227066332474351;Britannia
247;Tutbury;-1015803.008951639058068;6100275.841748118400574;Britannia
248;Bearsden;-1063737.172291674185544;6491121.015111437998712;Caledonia
249;Hexham;-964279.788155388552696;6338335.322891464456916;Britannia
250;Durhamshire;-953659.242271147435531;6298416.150373461656272;Britannia
251;Great Dunmow;-912255.597555947257206;5952017.83556505292654;Britannia
252;Shoeburyness;-894000.649936189642176;5905146.244323031976819;Britannia
253;Cumbernauld;-1040370.796748420223594;6486124.233172186650336;Caledonia
254;Chelmsford;-909188.953608025796711;5933292.307094005867839;Britannia
255;Stanwix;-1018514.978358981665224;6349564.106672416441143;Britannia
256;Penrith;-1015782.259438736364245;6318163.801042637787759;Britannia
257;Vienne;-758411.27288994868286;5168839.523017368279397;Narbonensis
258;Chesterfield;-983962.241761752869934;6137892.367965776473284;Britannia
259;Gravesend;-926784.656910504447296;5902828.078214740380645;Britannia
260;Cambridgeshire;-916591.738608597079292;6006851.210271276533604;Britannia
261;Worcester;-1073712.118920752778649;6041214.086800960823894;Britannia
262;Bo'ness;-1015661.644464501179755;6484833.612661075778306;Caledonia
263;Toft Newton;-915904.107490161433816;6129914.668289734050632;Britannia
264;Norton Disney;-940814.519658370409161;6107895.226585955359042;Britannia
265;Selby;-942310.786289191106334;6188303.405574137344956;Britannia
266;Holybourne;-1024682.744694326305762;5900767.647894238121808;Britannia
267;Southend;-1166862.447992021683604;6458330.381880341097713;Caledonia
268;Prestatyn;-1110482.549094896530733;6191932.920084950514138;Britannia
269;Liverpool;-1080344.475347066530958;6191222.022925022058189;Britannia
270;Walton le Dale;-1046764.559450150234625;6217801.384347604587674;Britannia
271;Scole;-843068.569157666759565;5989183.310787499882281;Britannia
272;Northwich;-1053726.535985053051263;6163592.417645690962672;Britannia
273;Grantham;-945009.504567203810439;6083291.004359818994999;Britannia
274;Derby;-997815.632372333435342;6132453.398955131880939;Britannia
275;Dorset;-1135822.58486117888242;5886561.691403108648956;Britannia
276;Topsham;-1215464.829990464262664;5905765.824813158251345;Britannia
277;Kirkton;-1052099.299545918824151;6388424.84291628561914;Caledonia
278;Paisley;-1072231.961595009081066;6484192.238187620416284;Caledonia
279;Barcelona;-1078768.384188711643219;4758350.672851155512035;Tarraconensis
280;Lyon?;-755826.511780963279307;5194589.906075611710548;Lugdunensis
281;Nuits-Saint-Georges;-716370.235891410382465;5348006.696350732818246;Lugdunensis
282;Sitges;-1106950.059927411144599;4747791.634326614439487;Tarraconensis
283;Terrassa;-1086365.293961218558252;4780587.475334439426661;Tarraconensis
284;Argentona;-1054516.017702148994431;4771834.444039450027049;Tarraconensis
285;Calella;-1031690.545535385841504;4773875.356815364211798;Tarraconensis
286;Tarragona;-1159670.958776451647282;4745651.661108191125095;Tarraconensis
287;Cap de Creus;-958638.936530045000836;4839186.480939594097435;Tarraconensis
288;Ascó;-1219866.815160140162334;4763688.518623092211783;Tarraconensis
289;Isla de Cabrera;-1064829.237616014666855;4491345.311164326965809;Tarraconensis
290;Badalona;-1070001.845008278032765;4763505.12470049969852;Tarraconensis
291;Ostia Antica;-225025.730013868422247;4658894.838156145997345;Italia
292;Lleida;-1204378.579239760991186;4815265.400416696444154;Tarraconensis
293;Sidi Ali ben ahmed (Thamusida);-2062732.642451100982726;4162773.421308108605444;Mauretania Tingitana
294;Banasa;-2017700.181388676166534;4182958.286775935441256;Mauretania Tingitana
295;Lixus;-1997235.518075702246279;4251471.20638208091259;Mauretania Tingitana
296;Volubilis;-1981744.856799329631031;4107083.958416527602822;Mauretania Tingitana
297;Tanger (Tingi);-1946505.43348081689328;4308761.98010057862848;Mauretania Tingitana
298;Vertault;-743493.73547649057582;5444095.509803917258978;Germania Superior
299;Chur;-374014.913952025352046;5253006.482325807213783;Raetia
300;Souk-el-Arba;-2004119.370077886153013;4189624.250439108815044;Mauretania Tingitana
301;Bled Takourart (Tocolosida);-1987266.401472949422896;4103212.23404747620225;Mauretania Tingitana
302;Lauffen am Neckar;-363386.063536972855218;5503686.304944399744272;Germania Superior
303;Mainz-Kastel;-409856.37445608980488;5617683.654970927163959;Germania Superior
304;Fréjus;-651967.220725119346753;4912785.187312074005604;Narbonensis
305;Étangs de Villepey;-656252.089314752724022;4904929.504746039398015;Narbonensis
306;Puget-sur-Argens;-658319.96630413713865;4913763.619478587992489;Narbonensis
307;Bavay;-721367.195952604291961;5714212.757496532052755;Belgica
308;Sainte-Colombe;-806713.280459818197414;5529586.445329747162759;Lugdunensis
309;Strasbourg;-474993.66328291723039;5464913.581182602792978;Germania Superior
310;Titelberg;-593230.382473924197257;5598614.429744159802794;Belgica
311;Petronell (Carnuntum);191156.470567100332119;5337601.593235457316041;Pannonia Superior
312;Avenches;-562863.00069551425986;5287371.540638801641762;Germania Superior
313;Mâcon;-744713.99941513617523;5258581.494173032231629;Lugdunensis
314;Windisch;-462111.201159699819982;5337822.169897101819515;Germania Superior
315;Nyon;-635238.900503905722871;5244075.398485954850912;Germania Superior
316;Voorburg;-634554.88270808942616;5900064.062442559748888;Germania Inferior
317;Solothurn;-519217.252851187367924;5317064.182604373432696;Germania Superior
318;Yverdon;-595776.135084279347211;5281610.683323894627392;Germania Superior
319;Baden;-457135.972639037878253;5335742.555729615502059;Germania Superior
320;Schleitheim;-436650.111365827033296;5364630.696819387376308;Germania Superior
321;Arbon;-371374.252983433776535;5327683.147546192631125;Raetia
322;Lenzburg;-466843.194432955933735;5328224.193619610741735;Germania Superior
323;Bern;-533834.78428448154591;5289790.031241508200765;Germania Superior
324;winterthur;-423805.996252510813065;5334232.674132097512484;Germania Superior
325;Olten;-488643.20254360511899;5327412.174688232131302;Germania Superior
