id;name;x;y;province
243;Ancy;-779453.955768535;5209375.34680593;Lugdunensis
244;Westmill;-935939.492316312;5963071.40251021;Britannia
245;Fos-Sur-Mer;-799972.470426201;4936462.19883311;Narbonensis
246;Bury Saint Edmunds;-876898.900900726;5985143.55768478;Britannia
247;Aix-en-Provence;-767241.085595176;4937156.4844315;Narbonensis
248;Gloucester;-1090534.60998064;6002523.13726591;Britannia
249;Alcácer do Sal?;-2100733.42795341;4684889.74812506;Lusitania
250;Lixus;-1997235.51806087;4251471.20648533;Mauretania Tingitana
251;Hochtaunuskreis;89092.6203758026;4418444.99441478;Italia
252;Cagny;-1044313.02324532;5665066.06980993;Lugdunensis
253;Köngen;-355695.5065422;5457953.73936938;Germania Superior
254;Lisieux;-1009461.32027461;5655159.13023059;Lugdunensis
255;Murviel-lès-Montpellier;-893814.920311246;4975245.66650297;Narbonensis
256;Marseille;-768368.12063224;4912623.5107282;Narbonensis
257;Sulz am Neckar;-414882.288806037;5431078.5025572;Germania Superior
258;Chartres;-938743.742607776;5552819.35096939;Lugdunensis
259;Lille;-764491.102839561;5764366.28940886;Belgica
260;Vercelli;-486147.275834107;5095747.11980986;Italia
261;Rottenburg;-390496.903576861;5439877.28288671;Germania Superior
262;Montans;-1036821.1261627;5037870.01706675;Narbonensis
263;La Buisse;-704557.7932343;5136571.53163594;Narbonensis
264;Sète;-902266.913851792;4953792.54515254;Narbonensis
265;Mèze;-908884.355268475;4957396.8090184;Narbonensis
266;Cartagena;-1452124.75367952;4397135.65286717;Tarraconensis
267;Badalona;-1069736.07970487;4761771.56669318;Tarraconensis
268;Budapest;355651.547686503;5262510.12218402;Pannonia Inferior
269;Maryport;-1061609.05477613;6341000.5800728;Britannia
270;Hettange-Grande;-575296.604521168;5579553.08273978;Belgica
271;Srijemska Mitrovica;390576.926851977;4981264.27559256;Pannonia Inferior
272;Welzheim;-332862.137632384;5476255.96809373;Germania Superior
273;Saint-Etienne-Roilaye;-802284.962861084;5624159.66030804;Belgica
274;Martigny;-575584.577604651;5200765.19520363;Italia
275;Cahors;-1056327.87708297;5112167.0970465;Aquitania
276;Les Andelys;-920596.664192033;5642554.50294566;Lugdunensis
277;Dalkeith;-988621.904649597;6456373.66953387;Caledonia
278;Roanne;-746791.260024395;5070566.32837079;Narbonensis
279;Theilenhofen;-167725.348487495;5477169.75325658;Raetia
280;Landas;-751689.638613947;5742466.86157894;Belgica
281;Cockermouth;-1053597.50328897;6333957.37945269;Britannia
282;Cadaquès;-963148.326655803;4836768.93715442;Tarraconensis
283;Glossop;-1009274.43658793;6166462.76797821;Britannia
284;Tortona;-457942.185853519;5043981.67891239;Italia
285;Corfe Mullen;-1113882.99810809;5883315.14279004;Britannia
286;Gilsland;-992568.326713143;6350349.14736331;Britannia
287;Harfleur;-1000395.01080447;5695786.8543823;Lugdunensis
288;Caernarfon;-1172762.88304592;6192560.61999399;Britannia
289;Vaucluse;-769830.196361908;4995363.18285515;Narbonensis
290;Rhodes;1125400.45789681;4026994.31845933;Asia
291;Sturry;-880123.222481412;5871592.04715196;Britannia
292;Viladamat;-983502.444712979;4823004.4158836;Tarraconensis
293;Ilchester;-1150134.75997591;5922586.44830289;Britannia
294;Garrissou;-975961.784425268;5052714.04441386;Narbonensis
295;Roujan;-930867.075883968;4971478.32600594;Narbonensis
296;Sedlescombe;-931835.020839365;5842937.63681641;Britannia
297;Andance;-771290.044823869;5139021.50843381;Narbonensis
298;Hainstadt;-343334.35875129;5553199.17049125;Germania Superior
299;Denver;-888395.956253208;6028114.35288591;Britannia
300;Forbach;-532867.854726648;5534136.66167503;Belgica
301;Charente-Maritime;-1197680.11980849;5273960.39113718;Aquitania
302;Boulogne;-1199685.63217685;5429601.32412584;Aquitania
303;Saint-Gilles-du-Gard;-836101.57479194;4971447.95060132;Narbonensis
304;Rubí;-1086372.81688088;4770829.10745158;Tarraconensis
305;Gonneville-sur-Scie;-929956.466799796;5704946.95969401;Lugdunensis
306;Sabadell;-1078670.98765391;4775068.31955958;Tarraconensis
307;Weißenthurm;-460851.630191816;5673325.96088646;Germania Superior
308;Horbourg;-512236.703102229;5415301.15840399;Germania Superior
309;Formentera;-1205341.5848801;4469269.66983729;Tarraconensis
310;Bad Cannstatt;-364382.647815494;5472696.5638907;Germania Superior
311;Eslettes;-937592.691369283;5682421.65138874;Lugdunensis
312;Tavira;-2070817.24714282;4516468.85332904;Lusitania
313;Grosssachsen;-392098.886017169;5559302.54730787;Germania Superior
314;Newcastle upon Tyne;-933657.639816768;6330344.85937732;Britannia
315;Cazedarnes;-956060.102319733;4967444.24400891;Narbonensis
316;Illa del Aire;-933711.196405127;4541737.31151757;Tarraconensis
317;Clarques;-818816.176379422;5779734.8840576;Belgica
