id;name;x;y;province
209;Bearsden;-1063737.17227391;6491121.01523214;Caledonia
210;Toulon;-725840.728890798;4885321.68429482;Narbonensis
211;Bourbon-Lancy;-872915.653662407;5317911.97372224;Aquitania
212;La Croix-Valmer;-673121.183948151;4886192.23048959;Narbonensis
213;Caerwent;-1133676.47494271;5990168.43000047;Britannia
214;Caernarfon;-1172762.88304592;6192560.61999399;Britannia
215;Pézenas;-922808.365648722;4964429.35579672;Narbonensis
216;Harpham;-886593.022865327;6200321.60324008;Britannia
217;Baden;-455944.431237297;5336974.14277916;Germania Superior
218;Cartagena;-1449939.63319031;4391996.59707463;Tarraconensis
219;Exeter;-1220579.71815816;5909605.90316364;Britannia
220;Elne;-980703.920837425;4876893.3217651;Narbonensis
221;Brachy;-936903.204293256;5713995.02806161;Lugdunensis
222;Liverpool;-1080344.47533016;6191222.0230461;Britannia
223;Friedberg;49114.082807828;6267137.99003515;
224;Fourvière;-758074.407741731;5196418.37315334;Lugdunensis
225;Quarante;-963003.388612329;4960187.45340832;Narbonensis
226;Villetelle;-858751.208612973;4982309.47064705;Narbonensis
227;Île Tiboulen de Maire;-773887.821720681;4905453.37155271;Narbonensis
228;Fliessem;-533682.522463351;5642206.27683315;Belgica
229;Bordeaux;-1204986.12063423;5197169.18136286;Aquitania
230;Hérault;-925548.690444053;4944223.99529104;Narbonensis
231;Dieburg;-371731.327541462;5598432.18861759;Germania Superior
232;Barcelona;-1076901.0270608;4757664.54939025;Tarraconensis
233;Alzey;-426921.052879931;5590620.22851237;Germania Superior
234;Lisboa;-2141951.69324276;4743563.92094397;Lusitania
235;Ungersheim;-522880.535167765;5394205.93473969;Germania Superior
236;Wien;155753.912491715;5348916.8497442;Pannonia Superior
237;Sleaford;-926819.171047682;6087532.3099268;Britannia
238;Tavira;-2070817.24714282;4516468.85332904;Lusitania
239;Vendeuil-Caply;-846336.475616607;5666434.30497958;Belgica
240;Cahors;-1056327.87708297;5112167.0970465;Aquitania
241;Mannheim;-405461.760701429;5558457.77042638;Germania Superior
242;Saintes;-1180767.57650641;5298520.28691293;Aquitania
243;Riegel am Kaiserstuhl;-484535.968909158;5418625.53659097;Germania Superior
244;Schleitheim;-437561.349109811;5364940.95885039;Germania Superior
245;Souk-el-Arba;-2004119.37006333;4189624.25054148;Mauretania Tingitana
246;Rommerskirchen;-500928.527986177;5751822.42307916;Germania Inferior
247;Roanne;-746791.260024395;5070566.32837079;Narbonensis
248;Newcastle upon Tyne;-933657.639816768;6330344.85937732;Britannia
249;Great Chesters;-984310.798019388;6347408.21656899;Britannia
250;Petronell (Carnuntum);191156.470569917;5337601.5933575;Pannonia Superior
251;Sens;-813832.528796562;5492279.63992786;Lugdunensis
252;Mireval;-890981.647948312;4963144.23412323;Narbonensis
253;Baralle;-776179.289080391;5717953.66761361;Belgica
254;Hanau;-362561.32691464;5623858.11652286;Germania Superior
255;Aldborough;-951822.032502968;6227503.90010229;Britannia
256;Neuenheim;-392023.899733558;5546936.83085167;Germania Superior
257;Köngen;-355695.5065422;5457953.73936938;Germania Superior
258;Chur;-374169.140891316;5253524.5141365;Raetia
259;Frontignan;-896321.846077139;4957429.1232438;Narbonensis
260;Tanger;-1950327.22458393;4285449.15175168;Mauretania Tingitana
261;San Potito;-120173.573651421;4690033.77251036;Italia
262;Florensac;-921210.35308014;4955167.75173721;Narbonensis
263;Deneuvre;-553753.602254393;5464782.01155484;Belgica
264;Liberchies;-734486.63726866;5753105.98560175;Belgica
265;Butzbach;-374169.960931298;5659880.3504563;Germania Superior
266;Le Mas-d'Agenais;-1154670.15857508;5132225.83108613;Aquitania
267;Birrens;-1030500.64864933;6374268.34324808;Caledonia
268;Xanten;-503646.03044109;5823979.8486064;Germania Inferior
269;Günzburg;-292240.014262625;5422776.99884679;Raetia
270;Lixus;-1997235.51806087;4251471.20648533;Mauretania Tingitana
271;Neckarrems;-358675.729159672;5479630.42759026;Germania Superior
272;Bliesbrück;-506759.197045804;5532866.79932232;Belgica
273;Niederbronn;-476664.98840126;5508631.96520688;Germania Superior
274;Nantes;-1203165.14020655;5481520.38219462;Aquitania
275;Pinet;-917226.701928983;4956906.41216874;Narbonensis
276;Holybourne;-1024682.74467896;5900767.64801538;Britannia
277;Boscoreale;-51434.4819792012;4535289.96932106;Italia
278;Antibes;-620809.828136445;4917729.53982733;Narbonensis
279;Crail;-946881.722867582;6489740.2118907;Caledonia
280;Saint-Satur;-869851.851042747;5405136.61759399;Aquitania
281;Aiguillon;-1148263.14368239;5117300.54194114;Aquitania
282;Caerhûn;-1142035.38801882;6189248.68389295;Britannia
283;Titelberg;-593230.38246345;5598614.42986598;Belgica
284;Croy;-1043368.48415957;6487283.0150624;Caledonia
285;Maraussan;-946703.925348024;4959113.91712034;Narbonensis
286;Remagen;-472537.657743537;5693681.70094213;Germania Inferior
287;Lagos;-2165550.72382762;4545143.42314275;Lusitania
288;Castiglione de la Pescaia;-328030.309059835;4784812.84828934;Italia
289;Newport;-915620.284445499;6175673.74878368;Britannia
290;Chartres;-938743.742607776;5552819.35096939;Lugdunensis
291;Iles de Lerins (baie de Cannes);-631842.584338419;4918167.52097596;Narbonensis
292;Gremecey;-570003.065627609;5508795.97093586;Belgica
293;Hofheim am Taunus;-396472.023601738;5624528.74402415;Germania Superior
294;Holzhausen;-432329.154108855;5645560.06758703;Germania Superior
295;Exning;-900935.128983851;5994217.26706244;Britannia
296;Aachen;-549177.592646036;5731585.19137432;Germania Inferior
297;Etaples;-867047.267646626;5777458.78074488;Belgica
298;Godmanchester;-933852.412439242;6010121.22050005;Britannia
299;Stettfeld;-399281.374423247;5521578.15726217;Germania Superior
300;Hochtaunuskreis;89092.6203758026;4418444.99441478;Italia
301;Bouzigues;-904125.883690381;4959056.07170918;Narbonensis
302;Brecon;-1162214.80140948;6041608.39592183;Britannia
303;Trier;-532611.407177068;5611686.49801511;Belgica
304;Piercebridge;-954394.002601162;6282581.96864157;Britannia
305;Chesterfield;-983962.241745958;6137892.36808725;Britannia
306;Vorey;-842281.948214384;5147491.84788193;Aquitania
307;Fishbourne;-1026850.05284645;5861498.96172383;Britannia
308;Tutbury;-1015803.00893567;6100275.84186947;Britannia
309;Athens;740055.928442988;4207491.26900367;Achaia
310;Quercy;-1077077.99726909;5093214.95879788;Aquitania
311;Shropshire, County of;-1092739.56495175;6104360.90503786;Britannia
312;Oberflorstadt;-361864.404548476;5645534.02118244;Germania Superior
