id;name;x;y;province
260;Tarragona;-1162042.95567574;4744181.52622575;Tarraconensis
261;Borja;-1375290.50243917;4884236.18475254;Tarraconensis
262;Sagunto;-1330753.11177619;4615198.80884794;Tarraconensis
263;Chedworth;-1069291.35015805;5991375.1162584;Britannia
264;Feurs;-804137.823799687;5203822.68175915;Lugdunensis
265;Bologna;-261018.809154758;4968422.53368776;Italia
266;Gaujac;-815217.147641653;5013869.99732797;Narbonensis
267;Aude;-963716.065689402;4953577.00505661;Narbonensis
268;La Garde;-672748.877570334;5026759.58957592;Narbonensis
269;Boulogne;-1199685.63217685;5429601.32412584;Aquitania
270;Petronell (Carnuntum);191156.470569917;5337601.5933575;Pannonia Superior
271;Silchester;-1027506.4505164;5923648.71862759;Britannia
272;Llinars;-1052083.42850616;4780413.27875994;Tarraconensis
273;Setúbal;-2128693.9642963;4715275.52258362;Lusitania
274;Bad Ems;-443697.638044015;5660520.34522908;Germania Superior
275;Magreta;-309536.367089009;4989385.16760459;Italia
276;Almazora;-1305965.85446133;4640496.9020338;Tarraconensis
277;Staines;-987115.65578713;5921009.41194968;Britannia
278;Selçuk (Ephesus);1060183.45576233;4219310.7546189;Asia
279;Soissons;-779365.797038991;5621794.97908953;Belgica
280;Astaffort;-1130187.39822003;5084756.02722944;Aquitania
281;Vercelli;-486147.275834107;5095747.11980986;Italia
282;Isola Sacra;-227800.608202716;4659178.69643386;Italia
283;Alcochete;-2125047.87860387;4742399.79131199;Lusitania
284;Bouc-Bel-Air;-761796.417509834;4930599.25659574;Narbonensis
285;Saint-Paul-Trois-Chateaux;-794123.162273022;5040575.2178399;Narbonensis
286;Ribchester;-1035695.10426702;6221994.55355308;Britannia
287;Cortona;-231924.875619282;4830071.13520674;Italia
288;Puisserguier;-956145.94097833;4961058.70264265;Narbonensis
289;Vicenza;-243817.048742566;5101558.1088709;Italia
290;Ptuj;105803.100726842;5153670.10949637;Noricum
291;Risstissen;-328541.551449891;5407080.92559416;Raetia
292;Pomas;-1023431.00912832;4946421.89935039;Narbonensis
293;Azaila;-1304418.88405798;4800194.80649926;Tarraconensis
294;Lodi Vecchio;-409379.772766663;5082160.90448678;Italia
295;Agen;-1128274.23127231;5100334.89927791;Aquitania
296;Sainte-Colombe;-759822.990671813;5169539.62430012;Narbonensis
297;Loughor;-1219225.95849582;6027004.36027018;Britannia
298;Elne;-980703.920837425;4876893.3217651;Narbonensis
299;Alicante;-1387165.69597007;4469728.1379712;Tarraconensis
300;El Saler;-1344904.34582257;4582970.39284763;Tarraconensis
301;Toulon;-725840.728890798;4885321.68429482;Narbonensis
302;Wijk bij Duurstede;-572227.171550985;5875076.47099747;Germania Inferior
303;Setla-Mirarrosa-Miraflor;-1328822.8637328;4515658.87938667;Tarraconensis
304;Montmeló;-1066879.32087545;4773431.95061874;Tarraconensis
305;Nida-Heddernheim;-381185.065723489;5629835.17231189;Germania Superior
306;Lacroix-Saint-Ouen;-818815.111242617;5628689.2344356;Belgica
307;Canterbury;-882929.136244843;5870413.34334731;Britannia
308;Châteaumeillant;-939469.120433985;5331103.37732853;Aquitania
309;Lattes;-881313.728297011;4968074.68669123;Narbonensis
310;Santa Severa;-249425.741002123;4693281.69916489;Italia
311;Porto Torres;-563756.71491716;4597612.27365903;Corsica et Sardinia
312;Sicilia;-153235.062200414;4211479.35773142;Sicilia
313;Viladamat;-983502.444712979;4823004.4158836;Tarraconensis
314;Autun;-769223.795985459;5337209.66142767;Lugdunensis
315;Auerberg;-269377.745370387;5337935.27388281;Raetia
316;Porto-Vecchio;-477629.776544844;4671054.56413327;Corsica et Sardinia
317;Perpignan;-984457.85020137;4888921.06108167;Narbonensis
318;Vichy;-856720.158239029;5260670.85320297;Aquitania
319;Tours;-1028333.68964916;5452373.85775663;Lugdunensis
320;Vigo;-1866528.3492466;5222588.82066076;Tarraconensis
321;Großkrotzenburg;-358764.431168034;5617323.66904789;Germania Superior
322;Sant Pol de Mar;-1034126.70577018;4772020.281177;Tarraconensis
323;Benifallet;-1227842.46496769;4743169.58518645;Tarraconensis
324;Murviel-lès-Montpellier;-893814.920311246;4975245.66650297;Narbonensis
325;Alphen aan den Rijn;-614793.408074651;5903117.18665806;Germania Inferior
326;Mâcon;-744172.146004683;5257593.09609404;Lugdunensis
327;Chesters;-965493.442812641;6344810.31896742;Britannia
328;Rouen;-1002546.47610761;5697606.17061451;Lugdunensis
329;Ardoch house;-1021039.95093317;6515488.31588027;Caledonia
330;Orbetello;-304837.946031659;4746357.39079908;Italia
331;South Shields;-921366.793713559;6326136.95249025;Britannia
332;Vieille-Toulouse;-1081177.25100146;5008481.8977267;Narbonensis
333;Sidi Aoun;-814107.243376013;3801831.11064012;Africa Proconsularis
334;Les Rues des Vignes;-766488.604953893;5702105.76014902;Belgica
335;Grostenquin;-541668.995894048;5523851.24404331;Belgica
336;îles d'Hyères;-692653.089731849;4865929.26306997;Narbonensis
337;Sidi Ali Ben Ahmed;-2073428.29999475;4156751.37290906;Mauretania Tingitana
338;Metz;-579922.034368355;5547021.50981508;Belgica
339;Benicarló;-1250793.41957027;4682657.84075623;Tarraconensis
