idreq;amphId;amphTypeName;fplmunName;fplcouName;lat;lon;transcription;family
94;10155;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LMAFRI";"LMAFRI"
95;10156;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LMVE?";"LMVE"
96;10157;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LMVE";"LMVE"
97;10158;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LQS";"LQS"
98;10159;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LQS";"LQS"
99;1016;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
100;10160;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LREVTYCHI";"LREVTICHI"
101;10161;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
102;10162;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
103;10163;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
104;10164;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
105;10165;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
106;10166;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
107;10167;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
108;10168;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
109;10169;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
110;1017;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
111;10170;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
112;10171;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
113;10172;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
114;10173;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
115;10174;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
116;10175;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
117;10176;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
118;10177;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
119;10178;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
120;10179;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
121;1018;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
122;10180;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
123;10181;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
124;10182;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
125;10183;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
126;10184;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
127;10185;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
128;10186;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
129;10187;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
130;10188;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
131;10189;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
132;1019;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
133;10190;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
134;10191;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSAR";"LSAR"
135;10192;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSELSEN";"LSL"
136;10193;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSELSENC";"LSL"
137;10194;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSERVFI";"LSERVFI"
138;10195;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSLVPI";"LSLVPI"
139;10196;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LSTERTTERTI"
140;10197;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LVALS";"LVALSA"
141;10198;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LVALTROPHI";"LVALERITROPHIMI"
142;10199;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LVTROPHIMI";"LVALERITROPHIMI"
143;102;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"KVFIGGRVMCOLSICETASI";"KV"
144;1020;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
145;10200;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LVTROPHIMI";"LVALERITROPHIMI"
146;10201;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LVTROPHIMI";"LVALERITROPHIMI"
147;10202;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LVALVIT";"LVALERIVITALIS"
148;10203;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LVC"
149;10204;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MAEALEX";"MAELIALEXANDRI"
150;10205;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MAEALEX";"MAELIALEXANDRI"
151;10206;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MAEME";"MAEME"
152;10207;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MAEME";"MAEME"
153;10208;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MAEF";"MAEF"
154;10209;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MFFM"
155;1021;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
156;10210;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MIM";"MIM"
157;10211;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MIM";"MIM"
158;10212;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MIM";"MIM"
159;10213;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MIM";"MIM"
160;10214;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MIM";"MIM"
161;10215;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MIM";"MIM"
162;10216;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"MSFPC";"MSFPC"
163;10217;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PAS..."
164;10218;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PCALPVR";"PCALPVR"
165;10219;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PHILO (PHLO)";"PHILO"
166;1022;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
167;10220;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PHILO (PHLO)";"PHILO"
168;10221;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PHILO (PHLO)";"PHILO"
169;10222;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PHILO (PHLO)";"PHILO"
170;10223;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PHILO (PHLO)";"PHILO"
171;10224;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PHILO (PHLO)";"PHILO"
172;10225;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PIC"
173;10226;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PLOCAMI";"PLOCAMI"
174;10227;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PMS...";"PMS"
175;10228;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PMANILISVP";"PMANISVP"
176;10229;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PMANILISVP";"PMANISVP"
177;1023;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
178;10230;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PMANILISVP";"PMANISVP"
179;10231;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PMANILISVP";"PMANISVP"
180;10232;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PMANILISVP";"PMANISVP"
181;10233;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PMV";"PMV"
182;10234;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PNN";"PNN"
183;10235;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PORCPR";"PORCPR"
184;10236;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PORCPR";"PORCPR"
185;10237;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PORPOP";"PORTOPOPULI"
186;10238;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PORPS";"PORPS"
187;10239;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PRIMI (PRM)"
188;1024;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
189;10240;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PSAVITI";"PSAVITI"
190;10241;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PSAVITI";"PSAVITI"
191;10242;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PSAVITI";"PSAVITI"
192;10243;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PSAVITI";"PSAVITI"
193;10244;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PSAVITI";"PSAVITI"
194;10245;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PSAVITI";"PSAVITI"
195;10246;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PVAFAV"
196;10247;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QAEOPO";"QAELIOPTATI"
197;10248;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QANTRVGAE";"QANTRVG"
198;10249;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QC...";"QC..."
199;1025;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
200;10250;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCC";"QCC"
201;10251;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCR";"QCR"
202;10252;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCR";"QCR"
203;10253;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCR";"QCR"
204;10254;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCR";"QCR"
205;10255;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCR";"QCR"
206;10256;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCR";"QCR"
207;10257;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCR";"QCR"
208;10258;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QCR";"QCR"
209;10259;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"QIAFS";"QIA"
210;1026;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
